type,size,runtime
insertionsort,7505,34551
insertionsort,65459,3337402
insertionsort,41388,1254995
insertionsort,13466,133357
insertionsort,84176,5639808
insertionsort,31123,780903
insertionsort,27064,587443
insertionsort,52693,2243167
insertionsort,80592,5295975
insertionsort,77849,4946690
insertionsort,18362,279255
insertionsort,95024,7423309
insertionsort,82619,5589433
insertionsort,14473,166841
insertionsort,98098,7935322
insertionsort,43270,1498601
insertionsort,89861,6616807
insertionsort,57357,2683492
insertionsort,52841,2311112
insertionsort,42552,1494877
insertionsort,45682,1739706
insertionsort,38327,1222923
insertionsort,74274,4568020
insertionsort,13734,153921
insertionsort,10262,88664
insertionsort,42072,1468147
insertionsort,95587,7494404
insertionsort,15199,191396
insertionsort,40583,1361554
insertionsort,64060,3381235
insertionsort,27899,644916
insertionsort,30002,721639
insertionsort,53462,2363079
insertionsort,89465,6585425
insertionsort,81153,5456909
insertionsort,13798,151032
insertionsort,31625,808415
insertionsort,60970,3035001
insertionsort,31279,811966
insertionsort,19734,324190
insertionsort,63282,3256197
insertionsort,91372,6786002
insertionsort,15290,176082
insertionsort,94478,7438720
insertionsort,69691,4012685
insertionsort,43650,1571964
insertionsort,49670,2004131
insertionsort,35902,1054578
insertionsort,63381,3176963
insertionsort,31038,751952
insertionsort,68331,3767880
insertionsort,68089,3770724
insertionsort,58382,2753295
insertionsort,62908,3242071
insertionsort,29587,703903
insertionsort,95310,7328812
insertionsort,21417,382622
insertionsort,24464,489095
insertionsort,23169,441216
insertionsort,42542,1494724
insertionsort,87286,6343984
insertionsort,53236,2356864
insertionsort,93767,7308656
insertionsort,98478,8094336
insertionsort,37146,1131726
insertionsort,52606,2281949
insertionsort,34735,1002801
insertionsort,28335,673346
insertionsort,41032,1343552
insertionsort,29904,738973
insertionsort,86212,6224650
insertionsort,54534,2467714
insertionsort,50652,2137668
insertionsort,31586,805768
insertionsort,87922,6316052
insertionsort,6324,29096
insertionsort,29263,700754
insertionsort,28140,626863
insertionsort,48704,1859008
insertionsort,58378,2793331
insertionsort,59960,2893787
insertionsort,5032,20777
insertionsort,88814,6529783
insertionsort,88328,6474114
insertionsort,54816,2495740
insertionsort,59677,2922383
insertionsort,35952,1078659
insertionsort,95897,7568076
insertionsort,20483,352073
insertionsort,32962,906492
insertionsort,70810,4153558
insertionsort,68125,3866858
insertionsort,13880,155541
insertionsort,42424,1485473
insertionsort,78025,4965814
insertionsort,81052,5445679
insertionsort,10743,98361
insertionsort,44723,1668186
insertionsort,43025,1544313
insertionsort,47145,1845240
insertionsort,24121,483560
insertionsort,79595,5259507
insertionsort,69871,4052994
insertionsort,56432,2638345
insertionsort,65759,3596862
insertionsort,10295,87678
insertionsort,31396,794342
insertionsort,9022,68312
insertionsort,86729,6244131
insertionsort,26006,554137
insertionsort,88565,6417238
insertionsort,12898,132963
insertionsort,65465,3406320
insertionsort,67120,3697497
insertionsort,27007,600287
insertionsort,58888,2904163
insertionsort,6379,33043
insertionsort,48578,1933053
insertionsort,71239,4235050
insertionsort,34110,972179
insertionsort,28462,651477
insertionsort,56248,2579062
insertionsort,19648,325803
insertionsort,47840,1918260
insertionsort,55291,2546660
insertionsort,18104,265968
